id,price
0,77.82
1,92.64
2,117.26
3,124.62
4,150.6
5,304.59
6,269.48
7,168.65
8,162.71
9,93.91
10,223.95
11,122.23
12,112.27
13,122.74
14,101.3
15,76.75
16,121.75
17,286.25
18,137.4
19,116.43
20,275.2
21,154.7
22,317.38
23,246.05
24,125.67
25,248.53
26,153.19
27,127.02
28,116.64
29,235.43
30,304.95
31,96.07
32,135.12
33,133.13
34,293.01
35,131.25
36,168.42
37,139.98
38,264.46
39,215.92
40,95.85
41,187.15
42,158.62
43,364.29
44,200.72
45,230.6
46,122.08
47,84.15
48,84.32
49,264.48
50,237.19
51,185.95
52,102.84
53,69.56
54,125.28
55,196.29
56,120.92
57,104.36
58,119.9
59,199.48
60,358.92
61,286.25
62,81.89
63,170.14
64,239.5
65,121.89
66,165.88
67,141.17
68,119.01
69,363.14
70,129.63
71,370.72
72,142.89
73,120.43
74,181.84
75,127.23
76,117.01
77,154.97
78,125.05
79,111.43
80,120.94
81,131.84
82,108.97
83,90.02
84,246.89
85,220.83
86,70.61
87,119.72
88,278.46
89,191.92
90,226.73
91,131.34
92,207.86
93,98.91
94,132.81
95,282.83
96,123.81
97,97.4
98,151.64
99,172.2
100,195.6
101,125.91
102,209.96
103,255.67
104,159.15
105,83.29
106,30.82
107,193.53
108,184.3
109,172.1
110,161.23
111,87.47
112,267.14
113,146.19
114,71.94
115,142.72
116,189.05
117,116.07
118,72.96
119,81.98
120,330.45
121,199.01
122,87.79
123,117.74
124,109.28
125,218.78
126,364.32
127,216.49
128,130.3
129,81.05
130,150.85
131,150.47
132,159.12
133,166.35
134,62.38
135,309.49
136,319.46
137,60.58
138,107.62
139,81.27
140,266.03
141,87.01
142,308.11
143,135.02
144,186.42
145,96.36
146,88.81
147,82.44
148,154.87
149,156.78
150,82.19
151,75.74
152,193.42
153,458.17
154,114.46
155,205.42
156,135.74
157,114.76
158,85.96
159,66.94
160,115.09
161,396.8
162,149.56
163,53.36
164,203.7
165,227.15
166,178.5
167,73.62
168,141.06
169,261.65
170,249.08
171,199.68
172,192.9
173,98.73
174,164.4
175,172.12
176,162.17
177,121.95
178,108.31
179,139.05
180,224.45
181,77.15
182,114.26
183,138.8
184,199.05
185,266.17
186,169.08
187,170.55
188,116.05
189,199.32
190,174.32
191,177.78
192,234.93
193,70.48
194,140.3
195,144.4
196,159.45
197,87.32
198,379.58
199,64.61
200,160.59
201,444.52
202,224.46
203,82.89
204,178.84
205,207.73
206,209.39
207,138.2
208,93.42
209,167.69
210,120.72
211,79.48
212,62.24
213,214.57
214,208.3
215,190.36
216,77.32
217,143.39
218,128.97
219,134.29
220,154.11
221,253.0
222,186.15
223,144.63
224,245.9
225,85.1
226,80.68
227,165.56
228,160.63
229,124.13
230,202.25
231,115.33
232,345.03
233,118.21
234,240.78
235,114.89
236,129.72
237,227.77
238,125.71
239,194.51
240,69.96
241,152.83
242,126.45
243,344.09
244,71.31
245,142.34
246,155.14
247,349.35
248,98.03
249,296.29
250,81.97
251,238.67
252,194.68
253,114.2
254,125.52
255,57.73
256,158.15
257,233.93
258,158.2
259,165.67
260,207.17
261,264.94
262,142.55
263,171.08
264,228.24
265,191.83
266,265.15
267,182.98
268,139.65
269,200.67
270,85.93
271,131.41
272,155.27
273,128.46
274,144.73
275,150.92
276,124.13
277,174.65
278,112.91
279,203.49
280,124.64
281,80.99
282,108.99
283,97.24
284,116.69
285,193.59
286,201.91
287,127.69
288,104.1
289,228.06
290,192.49
291,121.24
292,109.14
293,131.05
294,198.17
295,180.5
296,198.94
297,172.02
298,156.08
299,268.47
300,154.23
301,129.01
302,110.22
303,178.54
304,83.41
305,258.75
306,179.44
307,206.06
308,166.35
309,157.94
310,122.89
311,91.76
